month,KR_EQ,KR_BOND,GOLD_KR_H,US_TECH_KR,US_EQ_KR_H,KR_SMALL,US_BOND_KR,US_EQ_KR,US_TECH_KR_TR,US_EQ
2011-09,-0.04992809,0.00202646,-0.11513859,0.07312441,-0.03891366,,,,,0.02418398
2011-10,0.09039792,0.00179009,0.05261044,0.02477876,0.10417545,,,,,0.03862079
2011-11,-0.03451012,0.00761779,0.00305227,-0.04274611,-0.06569901,,,,,0.03723456
2011-12,-0.00493016,0.0035841,-0.09623431,0.04104646,0.05396566,,,,,0.01308357
2012-01,0.0776218,0.0013153,0.11658249,0.0602253,0.0488751,,,,,0.02069857
2012-02,0.03716475,0.00140739,0.02713909,0.05884757,0.05325444,,,,,0.04479615
2012-03,-0.00166236,-0.00174272,-0.06642202,0.06406793,0.02106742,,,,,0.04251752
2012-04,-0.00555042,0.00698377,0.00157233,-0.01124411,0.00756534,,,,,-0.00981822
2012-05,-0.07754564,0.00646673,-0.05729984,-0.02641233,-0.0662116,,,,,-0.02392327
2012-06,0.00367272,0.00275631,0.0041632,-0.01620196,0.02668129,,,,,0.01937753
2012-07,0.02032934,0.01482733,0.03565506,0.01723478,0.03880384,,,,,-0.00360489
2012-08,0.0,0.00490105,0.02081665,0.04216867,0.00822481,,,,,0.02360895
2012-09,0.04925224,0.00149075,0.07607843,0.00469653,0.03840925,,,,,0.01089157
2012-10,-0.04599012,0.00286374,-0.03061224,-0.07227616,-0.02062193,,,,,-0.03970224
2012-11,0.01812749,0.00055269,0.00451128,-0.00310078,0.0026738,,,,,-0.00298057
2012-12,0.04128351,0.00185969,-0.04079341,-0.02449456,0.00466667,,,,,-0.00371559
2013-01,-0.02142052,0.00380546,0.01287554,0.05221204,0.06071666,,,,,0.06257462
2013-02,0.03917051,0.00628756,-0.02966102,-0.00265152,0.01626525,,,,,0.01528467
2013-03,-0.01847746,0.00604613,-0.01667328,0.0596278,0.03662665,,,,,0.06350441
2013-04,-0.02906627,0.00192608,-0.08518369,0.00215054,0.01692399,,,,,0.01554669
2013-05,0.02129738,-0.0059502,-0.0353045,0.07403433,0.03941606,,,,,0.04226941
2013-06,-0.07518653,-0.00276269,-0.14547118,-0.01098901,-0.01882022,,,,,0.00536882
2013-07,0.02627224,0.00195731,0.09850107,0.03703704,0.0458059,,,,,0.0186546
2013-08,0.01210898,0.00353488,0.05750487,-0.00422078,-0.02710101,,,,,-0.03234401
2013-09,0.03988036,0.00498702,-0.04746544,0.00456472,0.02954418,,,,,-0.0011353
2013-10,0.02396932,0.00268618,0.00919207,0.02401818,0.04618748,,,,,0.03249373
2013-11,0.00898876,-0.00387991,-0.08053691,0.04532488,0.03448276,,,,,0.03031659
2013-12,-0.01039347,0.00589817,-0.02606882,0.01667677,0.02070707,,,,,0.01935775
2014-01,-0.0423856,0.0023245,0.0369379,0.00178944,-0.02102919,,,,,-0.01339891
2014-02,0.01782217,0.00371058,0.06504904,0.04197678,0.03411676,,,,,0.0343746
2014-03,0.00019242,0.0025878,-0.0266602,-0.026,0.007087,,,,,0.00933481
2014-04,-0.00923432,0.00185288,-0.00249004,-0.04165444,0.00655181,,,,,-0.02800158
2014-05,0.01900843,0.00480858,-0.02745881,0.03520049,0.02917068,,,,,0.01318947
2014-06,0.0,0.00633168,0.04876797,0.02424601,0.0229562,,,,,0.01345154
2014-07,0.03842308,0.0063659,-0.01664219,0.04734411,0.00664071,,,,,-0.00380952
2014-08,-0.01889589,0.00284195,-0.00348432,0.01323043,0.01751592,,,,,0.02860564
2014-09,-0.03266616,0.00813603,-0.05544456,0.03754081,-0.00871898,,,,,0.0222036
2014-10,-0.02518056,0.00765306,-0.02273929,0.01153644,0.01037438,,,,,0.02686316
2014-11,0.01261514,0.00307414,-0.00054113,0.10368066,0.0453125,,,,,0.07338644
2014-12,-0.02432272,0.00106364,-0.00378993,-0.00469704,0.01387999,,,,,-0.00425772
2015-01,0.02776652,0.00672116,0.06630435,-0.03563001,-0.03411963,,,,,-0.03704499
2015-02,0.0023664,-0.00036088,-0.03975535,0.07095669,0.04731792,,,,,0.06433849
2015-03,0.02006689,0.01045126,-0.02653928,-0.00913868,-0.01145118,,,,,-0.01051189
2015-04,0.04030858,-0.00313901,0.01472192,-0.01222043,0.01074136,,,,,-0.0238881
2015-05,-0.02251407,0.00413855,-0.0059108,0.04971989,0.0152115,,,,,0.05069225
2015-06,-0.03435701,-0.00026879,-0.01351351,-0.02490549,-0.02770936,,,,,-0.00607666
2015-07,-0.03359173,0.00243704,-0.08219178,0.09828962,0.02723243,,,,,0.06097865
2015-08,-0.04710965,0.00297137,0.04656716,-0.05460963,-0.06370736,,,,,-0.05289871
2015-09,0.02072539,0.00630218,-0.00285225,-0.03799693,-0.03402107,,,,,-0.01043855
2015-10,0.0607022,-0.00071582,0.01887872,0.08949772,0.10270393,,,,,0.03764199
2015-11,-0.02333001,-0.00313395,-0.08478383,0.01844091,-0.00329693,0.03147017,,,,0.01077247
2015-12,-0.00592078,0.00533549,0.01226994,0.01625514,-0.00330784,0.00318761,,,,0.00116862
2016-01,-0.03368248,0.00341358,0.04363636,-0.08139299,-0.08193321,0.0240581,,,,-0.02027442
2016-02,0.01721573,0.00528201,0.10278746,0.03129821,0.0228197,-0.07446809,,,,0.02149922
2016-03,0.04283326,0.00108647,-0.00052659,-0.01453302,0.06118843,0.02969349,,,,-0.00348794
2016-04,-0.00196353,0.00071378,0.03477345,-0.02906094,0.00707744,-0.00837209,,,,-0.00441406
2016-05,-0.00613497,0.00026748,-0.05040733,0.08599509,0.01818933,0.00047081,,,,0.05853133
2016-06,0.00411523,0.00768339,0.08579088,-0.06890169,-0.01522533,-0.02870588,,,,-0.01835326
2016-07,0.02971311,0.00204463,0.0162963,0.04815551,0.04844362,0.02228682,,,,0.00176511
2016-08,0.01871392,-0.00168559,-0.02332362,0.01412013,0.00530869,-0.0563981,,,,-0.00520638
2016-09,0.00312683,0.00268373,0.01243781,-0.00665004,-0.01564639,0.01305876,,,,-0.01979107
2016-10,-0.00526008,-0.0048,-0.03783784,0.04225941,-0.0017882,-0.06891423,,,,0.02649433
2016-11,-0.00470035,-0.00768131,-0.07303371,0.03412284,0.03542994,-0.05005325,,,,0.05793366
2016-12,0.03600945,0.00441044,-0.03250689,0.03998447,0.02268358,0.05044843,,,,0.05519771
2017-01,0.03475783,-0.0005403,0.04441913,0.00261292,0.0093985,-0.02828175,,,,-0.02480899
2017-02,0.00458884,0.00135147,0.03707743,0.01768429,0.0424581,0.01208127,,,,0.01622225
2017-03,0.04293806,0.0026813,-0.0126183,0.00438998,-0.00518042,0.00596853,,,,-0.012901
2017-04,0.02382621,0.00062944,0.02449414,0.04097614,0.01562219,0.02502697,,,,0.02259435
2017-05,0.06401113,0.00215672,-0.00571726,0.02921624,0.00795615,0.04731526,,,,0.00854948
2017-06,0.02419487,-0.00037661,-0.01620491,-0.00662927,0.00824417,0.04517766,,,,0.02043306
2017-07,0.007502,0.00108089,0.01647184,0.0229295,0.02052888,-0.01748422,,,,0.00219563
2017-08,-0.02066116,0.00071981,0.0266597,0.01455336,-0.00426185,0.02224419,,,,0.00623368
2017-09,0.02888673,-0.00240964,-0.01782077,0.01533388,0.02020202,0.04497099,,,,0.04186444
2017-10,0.05378549,-0.00623644,-0.00570244,0.02565768,0.02433294,0.11383619,,,,0.00419406
2017-11,-0.02516854,0.00363802,0.00312826,-0.01994934,0.02162516,0.12796012,,,,-0.00845827
2017-12,0.00753035,0.00063435,0.00675676,0.01211632,0.02228993,0.05082873,,,,0.00184245
2018-01,0.02821843,-0.00391194,0.03613836,0.07246608,0.05239216,0.17910971,,,,0.05645745
2018-02,-0.05978341,0.0036533,-0.02092676,0.00997172,-0.03130124,-0.08353151,,,,-0.03681003
2018-03,0.00852004,0.0036582,0.01221374,-0.06424993,-0.0387752,0.01167694,,,,-0.03149719
2018-04,0.02503129,0.00181884,-0.01809955,0.02173228,0.01328638,-0.03943572,,,,0.01431053
2018-05,-0.0371517,0.0019971,-0.01228879,0.05240444,0.01658768,-0.00268097,,,,0.0291635
2018-06,-0.03392283,0.00418554,-0.04095386,0.0456942,0.0017094,-0.06518817,,,,0.0433278
2018-07,-0.0058246,0.00217667,-0.02594595,0.0210084,0.03009618,-0.08411215,,,,0.03242416
2018-08,0.00520047,0.00687783,-0.01609323,0.05898491,0.03433735,0.08516484,,,,0.02461935
2018-09,0.00550734,-0.00068308,-0.02030457,-0.00284974,0.00232964,0.02350814,-0.01542289,,,0.00948374
2018-10,-0.1213278,0.00397148,0.02993667,-0.08002078,-0.07582801,-0.2024735,0.0267812,,,-0.04576283
2018-11,0.02917772,0.00341634,0.00279486,-0.01539113,0.01650424,0.05892778,-0.00984252,,,0.00176116
2018-12,-0.02135493,0.00292089,0.04236343,-0.0904919,-0.09293335,-0.0125523,0.01341948,,,-0.09105642
2019-01,0.09198646,0.00206704,0.02941176,0.08540472,0.07739516,0.0220339,0.00294262,,,0.07919598
2019-02,-0.00757967,0.00134529,-0.00519481,0.04712272,0.03844937,0.04063018,0.01369193,,,0.03297074
2019-03,-0.0218712,0.00519481,-0.02349869,0.05481565,0.01310376,-0.03346614,0.02701399,,,0.03631633
2019-04,0.02786158,0.00071282,-0.00534759,0.08399787,0.0413596,0.00783182,0.02583372,,,0.05951427
2019-05,-0.07474996,0.004541,0.00537634,-0.05958803,-0.0584922,-0.1068323,0.04029304,,,-0.03806585
2019-06,0.0551868,0.00372274,0.09304813,0.03520209,0.05752416,-0.05841446,-0.01716549,,,0.03974628
2019-07,-0.03918045,0.00600495,0.00880626,0.06397985,0.02930084,-0.06794682,0.02149575,,,0.03723263
2019-08,-0.02980877,0.00377458,0.06741028,-0.01325758,-0.0328354,-0.05546751,0.05830776,,,0.01087447
2019-09,0.06009662,-0.00279843,-0.02862335,-0.0077975,0.01850503,0.00782998,-0.02485501,,,0.00779683
2019-10,0.01093693,-0.00447251,0.00374181,0.0222464,0.02317597,0.13207547,-0.03058624,,,-0.00588758
2019-11,0.00144613,0.00334743,-0.02795899,0.05594323,0.03173937,-0.06666667,0.014461,,,0.04586507
2019-12,0.07509025,0.00087796,0.03643337,0.02262545,0.03076298,0.09401261,-0.02591793,,,0.01029451
2020-01,-0.02904634,0.00368421,0.03700278,0.06903353,0.01380489,-0.06913106,0.05144124,,,0.0217845
2020-02,-0.05802875,0.00585562,0.03612846,-0.07749077,-0.11749449,-0.02836514,0.04470687,,,-0.05395661
2020-03,-0.1141964,0.0,-0.00602669,-0.04766667,-0.10213079,-0.01433121,0.04198627,,,-0.1200491
2020-04,0.08968237,0.00321488,0.0537029,0.1239062,0.10032733,0.08346796,0.00619915,,,0.12938017
2020-05,0.03698683,0.00545644,-0.00205508,0.084605,0.0475978,0.09507042,0.01771275,,,0.05978753
2020-06,0.04836601,8.614e-05,0.03212521,0.03014931,0.00624734,0.06798346,-0.02837684,,,-0.01404436
2020-07,0.0682223,0.00301464,0.09736632,0.07832389,0.07069282,0.09419355,-0.0046729,,,0.05069053
2020-08,0.0272302,-0.00420781,-0.01090909,0.10632432,0.07880865,0.05621069,-0.01251956,,,0.06414001
2020-09,0.01105871,0.00396689,-0.04448529,-0.0682243,-0.0437332,-0.01600298,-0.00871632,-0.05750951,,-0.04686526
2020-10,-0.02879202,-0.00180381,-0.00961908,-0.05992979,-0.03666326,-0.08509834,-0.03996803,-0.06505295,,-0.05825297
2020-11,0.15079628,-0.00129077,-0.05322455,0.0769094,0.11404323,0.12153783,-0.02581182,0.08477322,,0.08040685
2020-12,0.13882082,0.00043081,0.06073041,0.03806143,0.03582907,0.13969775,-0.02008547,0.02140368,,0.02164861
2021-01,0.04240506,0.00111963,-0.02359768,0.03733185,0.00080441,-0.06759379,0.02442215,0.03070175,,0.01400894
2021-02,0.01410334,-0.00051617,-0.04714739,-0.01411909,0.02365369,-0.05202914,-0.02341422,0.02700142,,0.02208824
2021-03,0.01150941,-0.00180754,-0.04532225,0.01945828,0.03342681,0.04646908,-0.00610288,0.04428044,,0.06907268
2021-04,0.01848998,0.00094852,0.05008711,0.06046725,0.06154347,-0.01048951,-0.0127193,0.03975265,,0.02866615
2021-05,0.01099421,-0.00155065,0.07673165,-0.01635918,0.00306748,-0.00071378,0.00577521,0.00340716,-0.0152484,0.01438275
2021-06,0.0265435,-0.00293356,-0.08012327,0.07919994,0.02028542,0.04107143,0.01766784,0.03650255,0.08041958,0.03525368
2021-07,-0.03086912,0.00432676,0.03894472,0.04046164,0.02168049,-0.00857633,0.04036458,0.04258804,0.03929727,0.04018665
2021-08,-0.01176886,0.00189557,-0.00725514,0.06373253,0.03852924,0.04083045,0.00500626,0.04332414,0.06405694,0.04501712
2021-09,-0.04263427,-0.00653595,-0.0499391,-0.03093923,-0.03314501,-0.02493351,0.00539643,-0.01057003,-0.03177258,-0.02982051
2021-10,-0.03196915,-0.01211911,0.03803419,0.03902192,0.04100117,-0.02182066,-0.0206441,0.02785196,0.0388601,0.05824165
2021-11,-0.03593046,0.01025237,-0.00247015,0.06092052,0.01047806,0.00662252,0.02740304,0.02528821,0.05943475,0.01033652
2021-12,0.06518835,0.00294908,0.00165085,0.01035673,0.03860754,0.04362881,-0.00287238,0.04098658,0.01294625,0.03932183
2022-01,-0.08929019,-0.00890772,-0.00123609,-0.12818907,-0.09119273,-0.1814864,-0.0127572,-0.07735192,-0.12896979,-0.03923731
2022-02,0.0097931,0.00078534,0.06229373,-0.02438227,-0.01275135,0.00689096,-0.00791997,-0.01590909,-0.02356603,-0.02927491
2022-03,0.01297637,-0.00967826,0.00970874,0.10110553,0.07540984,0.05716586,-0.02521008,0.08429561,0.10063752,0.04457809
2022-04,-0.02885653,-0.00810002,-0.00769231,-0.08336376,-0.07215447,-0.0468393,0.00603448,-0.03940362,-0.08440215,-0.04361897
2022-05,-0.00197128,0.00195278,-0.03527132,-0.0638708,-0.02678483,0.00441945,-0.01456727,-0.0404003,-0.06190691,-0.01637614
2022-06,-0.12880926,-0.01231396,-0.02089192,-0.04877529,-0.09279722,-0.1624,0.03478261,-0.04596369,-0.05105973,-0.04777097
2022-07,0.04890688,0.0199121,-0.02995486,0.11792805,0.08447051,0.08787011,0.03151261,0.08259109,0.11979695,0.10146345
2022-08,-0.00478617,-0.01732477,-0.02749577,-0.0052744,-0.02277454,0.00043898,-0.00488798,0.00860135,-0.00453309,-0.0088043
2022-09,-0.12271176,-0.01056023,-0.03436277,-0.0364454,-0.0904544,-0.16322949,0.02415063,-0.02632555,-0.03734062,-0.03364829
2022-10,0.06648983,0.00244211,-0.01756757,0.02235999,0.06516907,0.05243838,-0.01438849,0.06130998,0.02128666,0.06959453
2022-11,0.07041548,0.01912839,0.06510775,-0.07222829,0.0134007,0.02889885,-0.05920519,-0.05685498,-0.07040296,-0.00970903
2022-12,-0.07731878,-0.00150509,0.02755058,-0.10522443,-0.04758292,-0.06634383,-0.04310345,-0.08164823,-0.10612855,-0.10306577
2023-01,0.08903531,0.01489626,0.05529954,0.07820724,0.05895072,0.06068465,-0.00720721,0.03323639,0.07859532,0.03051339
2023-02,-0.00777484,-0.01039665,-0.05597459,0.09154069,-0.00763031,0.11687042,0.04446461,0.06615571,0.09147287,0.04523216
2023-03,0.02460429,0.01924605,0.08873003,0.05581591,0.01602772,0.10245184,0.01042572,0.00151343,0.05729167,0.02637189
2023-04,0.01162435,0.00242529,-0.0007725,0.04259689,0.0181198,0.03455123,0.03396389,0.0491122,0.04120018,0.04410529
2023-05,0.04122605,-0.00207379,-0.01623502,0.07891053,0.01141122,0.00693642,-0.01995842,0.00542299,0.08043011,-0.00865457
2023-06,-0.00029438,-0.0048489,-0.03300589,0.04146514,0.0451299,0.00956755,-0.02248621,0.04566703,0.04219745,0.05722982
2023-07,0.02208481,0.00321935,0.02316132,0.01517812,0.03664455,0.171721,-0.03819444,0.0065337,0.01566081,0.00693059
2023-08,-0.03060488,0.00268864,-0.00992851,0.02055751,-0.01576383,-0.04367519,0.03294224,0.02572016,0.02106055,0.01556623
2023-09,-0.02084885,-0.0036329,-0.0276775,-0.03596256,-0.05309649,-0.10622463,0.00043687,-0.03075894,-0.03756906,-0.03056618
2023-10,-0.0643346,-0.00286483,0.04826733,-0.02271179,-0.03505894,-0.1332324,-0.01746725,-0.03035529,-0.02181401,-0.01588882
2023-11,0.10746902,0.01854431,0.02085793,0.07505673,0.09178795,0.14759825,-0.008,0.05069618,0.07511737,0.03987443
2023-12,0.0652334,0.01444568,0.01773323,0.05666504,0.04874964,0.0608828,0.02912186,0.0509684,0.05604076,0.04597988
2024-01,-0.06206801,-0.00050556,-0.02916667,0.05956771,0.01994804,-0.1079627,0.02612103,0.06110572,0.06030324,0.04838826
2024-02,0.05926692,-0.00092733,-0.00312134,0.02843303,0.03120167,0.12464817,-0.0186678,0.03212974,0.02924927,0.05487535
2024-03,0.05902051,0.00388153,0.0888454,0.03805576,0.03775582,0.08473364,0.01859058,0.06077676,0.0382065,0.04261088
2024-04,-0.0226614,-0.00369841,0.04097771,-0.00580762,-0.0349371,-0.04976928,0.00169779,-0.0136948,-0.00486618,-0.01758874
2024-05,-0.01746248,0.00565258,0.00587017,0.04295376,0.0185854,-0.07711011,0.00805085,0.02700398,0.04217604,0.04890306
2024-06,0.07039711,0.00981544,-0.00961208,0.0689625,0.04937738,0.02295822,0.01050862,0.04566842,0.06920821,0.04483202
2024-07,-0.0070048,0.00689541,0.03743501,-0.04109353,-0.00782859,-0.01582046,0.01414309,-0.00328216,-0.04141525,0.00875776
